"REF_DATE","GEO","DGUID","Rank","Gender","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019/2020","Canada","2021A000011124","Total rank","Total gender","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475648","1.1.1.2","100.0","","","","1"
"2020/2021","Canada","2021A000011124","Total rank","Total gender","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475648","1.1.1.2","100.0","","","","1"
"2021/2022","Canada","2021A000011124","Total rank","Total gender","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475648","1.1.1.2","100.0","","","","1"
"2022/2023","Canada","2021A000011124","Total rank","Total gender","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475648","1.1.1.2","100.0","","","","1"
"2023/2024","Canada","2021A000011124","Total rank","Total gender","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475648","1.1.1.2","100.0","","","","1"
"2019/2020","Canada","2021A000011124","Total rank","Man","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475651","1.1.2.2","58.8","","","","1"
"2020/2021","Canada","2021A000011124","Total rank","Man","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475651","1.1.2.2","58.1","","","","1"
"2021/2022","Canada","2021A000011124","Total rank","Man","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475651","1.1.2.2","57.8","","","","1"
"2022/2023","Canada","2021A000011124","Total rank","Man","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475651","1.1.2.2","57.1","","","","1"
"2023/2024","Canada","2021A000011124","Total rank","Man","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475651","1.1.2.2","56.5","","","","1"
"2019/2020","Canada","2021A000011124","Total rank","Woman","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475654","1.1.3.2","41.2","","","","1"
"2020/2021","Canada","2021A000011124","Total rank","Woman","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475654","1.1.3.2","41.9","","","","1"
"2021/2022","Canada","2021A000011124","Total rank","Woman","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475654","1.1.3.2","42.2","","","","1"
